Date,Open,High,Low,Close,Volume
12/2/1980,0.1797,0.1816,0.1406,0.1641,246592000
1/2/1981,0.168,0.1758,0.1504,0.1504,68249600
2/2/1981,0.1465,0.1504,0.1406,0.1504,27174400
3/2/1981,0.1504,0.1543,0.1348,0.1465,46528000
4/1/1981,0.1562,0.1758,0.1562,0.1621,79936000
5/1/1981,0.1621,0.1777,0.1582,0.1777,43097600
6/1/1981,0.1836,0.1934,0.1797,0.1816,95462400
7/1/1981,0.1836,0.1855,0.1621,0.1699,29542400
8/3/1981,0.1641,0.1641,0.1455,0.1504,25753600
9/1/1981,0.1484,0.166,0.1445,0.1484,28992000
10/1/1981,0.1484,0.209,0.1465,0.207,120896000
11/2/1981,0.2012,0.2168,0.1992,0.2168,67750400
12/1/1981,0.2227,0.2227,0.2109,0.2207,52467200
1/4/1982,0.2207,0.2285,0.2109,0.2285,80934400
2/1/1982,0.2266,0.2373,0.2168,0.2217,66739200
3/1/1982,0.2217,0.2305,0.1943,0.2295,76761600
4/1/1982,0.2305,0.2363,0.2188,0.2188,84697600
5/3/1982,0.2188,0.2354,0.2188,0.2334,67379200
6/1/1982,0.2334,0.2441,0.2305,0.2441,81356800
7/1/1982,0.2441,0.2803,0.2441,0.2715,134566400
8/2/1982,0.2715,0.3135,0.2471,0.3135,180953600
9/1/1982,0.3125,0.3682,0.3125,0.3633,164275200
10/1/1982,0.3623,0.3857,0.333,0.3672,383360000
11/1/1982,0.3672,0.4238,0.3457,0.4072,284019200
12/1/1982,0.4072,0.4375,0.3516,0.3525,195571200
1/3/1983,0.3525,0.3652,0.2969,0.3125,372998400
2/1/1983,0.3125,0.3711,0.2461,0.2793,318560000
3/1/1983,0.2793,0.2812,0.2363,0.2617,515558400
4/4/1983,0.2617,0.334,0.25,0.3105,390060800
5/2/1983,0.3105,0.3203,0.2812,0.3066,189024000
6/1/1983,0.3066,0.3105,0.2637,0.2676,177740800
7/1/1983,0.2676,0.3125,0.2422,0.2617,179993600
8/1/1983,0.2617,0.291,0.2539,0.2656,120025600
9/1/1983,0.2656,0.2832,0.2461,0.2637,193721600
10/3/1983,0.2637,0.293,0.2598,0.2852,181651200
11/1/1983,0.2852,0.291,0.2305,0.2383,163417600
12/1/1983,0.2383,0.2559,0.2246,0.2266,139084800
1/3/1984,0.2266,0.2559,0.2188,0.2207,141209600
2/1/1984,0.2207,0.2207,0.1758,0.1797,199980800
3/1/1984,0.1797,0.1953,0.1758,0.1797,159302400
4/2/1984,0.1797,0.1797,0.1504,0.1562,131961600
5/1/1984,0.1562,0.1816,0.1504,0.1523,99008000
6/1/1984,0.1523,0.166,0.1504,0.1562,66144000
7/2/1984,0.1562,0.1582,0.123,0.1309,75584000
8/1/1984,0.1309,0.1641,0.127,0.1602,236665600
9/4/1984,0.1602,0.1641,0.1367,0.1406,85868800
10/1/1984,0.1406,0.1406,0.1035,0.1074,106432000
11/1/1984,0.1074,0.125,0.1055,0.1211,179942400
12/3/1984,0.1211,0.1348,0.1094,0.123,119411200
1/2/1985,0.123,0.1582,0.123,0.1445,266310400
